"","x"
"856","IRAK1BP1"
"857","C1orf174"
"858","RBBP8NL"
"859","GPC1"
"860","GPC2"
"861","GPC3"
"862","GPC4"
"863","GPC5"
"864","LOC91450"
"865","ORM1"
"866","ALDH3A2"
"867","ALDH3A1"
"868","EDC3"
"869","EDC4"
"870","ANAPC1"
"871","ANAPC2"
"872","ANAPC5"
"873","ANAPC4"
"874","ANAPC7"
"875","PSMD14"
"876","PSMD11"
"877","PSMD10"
"878","PSMD13"
"879","PSMD12"
"880","RTFDC1"
"881","EXOSC10"
"882","MOBP"
"883","MYLK4"
"884","MYLK2"
"885","MYLK3"
"886","TRMT44"
"887","MOB2"
"888","PQLC3"
"889","PQLC2"
"890","MOB4"
"891","LOXHD1"
"892","LRRC23"
"893","HMGB3"
"894","HMGB2"
"895","HMGB1"
"896","CHP1"
"897","CFAP126"
"898","GCHFR"
"899","LRRC28"
"900","MND1"
"901","FGFR1OP"
"902","TPSAB1"
"903","CALR"
"904","CALU"
"905","LOC400927"
"906","CHPF"
"907","COL23A1"
"908","BTN2A3P"
"909","RIBC1"
"910","CLEC1A"
"911","C5orf46"
"912","C5orf42"
"913","RFFL"
"914","RFC3"
"915","RFC2"
"916","RAB27A"
"917","RAB27B"
"918","LSAMP"
"919","FAM122B"
"920","FAM122C"
"921","CYP2D6"
"922","CYP2D7"
"923","ZNF774"
"924","DHX40"
"925","ZNF773"
"926","TRIM9"
"927","TRIM8"
"928","PFN2"
"929","PFN4"
"930","ZNF770"
"931","TRIM3"
"932","TRIM2"
"933","TRIM5"
"934","TRIM4"
"935","TRIM7"
"936","TRIM6"
"937","TSN"
"938","PPA2"
"939","PPA1"
"940","NUP62"
"941","CSF1R"
"942","SIPA1"
"943","RMND1"
"944","FAM159A"
"945","SSX2IP"
"946","RAB10"
"947","PPAT"
"948","DCXR"
"949","NFYB"
"950","NFYA"
"951","CCNI2"
"952","CES1P1"
"953","SKIL"
"954","CYTH3"
"955","CYTH2"
"956","CYTH4"
"957","DPH1"
"958","DPH2"
"959","DPH3"
"960","MYH7B"
"961","DPH5"
"962","SPAST"
"963","DPH7"
"964","LINC00242"
"965","PAH"
"966","PAM"
"967","DCK"
"968","DCD"
"969","THRB"
"970","TAF4B"
"971","CDH20"
"972","CREB5"
"973","CDH23"
"974","CDH24"
"975","CREB1"
"976","FLRT1"
"977","FLRT2"
"978","PXYLP1"
"979","ARCN1"
"980","AKR7A2P1"
"981","AEN"
"982","FAM196B"
"983","FAM196A"
"984","PPP6C"
"985","ZNF192P1"
"986","SLC39A13"
"987","HSPA4L"
"988","PRAC2"
"989","EIF4EBP1"
"990","EIF4EBP3"
"991","ASPRV1"
"992","YBEY"
"993","SH2D1B"
"994","SH2D1A"
"995","LRRC37A3"
"996","CSDC2"
"997","PDHA1"
"998","KDF1"
"999","CKMT2"
"1000","MRPS14"
"1001","RFPL4B"
"1002","RILPL2"
"1003","FMR1"
"1004","LYPD6"
"1005","LYPD5"
"1006","LYPD3"
"1007","LYPD1"
"1008","CALCOCO1"
"1009","CALCOCO2"
"1010","RGS5"
"1011","RGS6"
"1012","RGS7"
"1013","RGS2"
"1014","LOC100133669"
"1015","RGS9"
"1016","ANKRD20A8P"
"1017","CDK2AP1"
"1018","BMP7"
"1019","CD28"
"1020","MRPS9"
"1021","MRPS7"
"1022","CD22"
"1023","MRPS5"
"1024","IFI35"
"1025","CD27"
"1026","MRPS2"
"1027","IFI30"
"1028","NKIRAS2"
"1029","NKIRAS1"
"1030","FAT3"
"1031","FAT2"
"1032","FAT1"
"1033","FAT4"
"1034","PSG4"
"1035","LSM4"
"1036","LSM6"
"1037","OXER1"
"1038","LSM7"
"1039","TMEM241"
"1040","TMEM242"
"1041","AKR7A2"
"1042","AKR7A3"
"1043","DDA1"
"1044","RASSF9"
"1045","MARCH10"
"1046","RPS6"
"1047","PTPMT1"
"1048","DCBLD2"
"1049","PLCD3"
"1050","PLCD1"
"1051","HIST1H1D"
"1052","HIST1H1E"
"1053","HIST1H1B"
"1054","HIST1H1C"
"1055","SOS1"
"1056","GNMT"
"1057","CKMT1A"
"1058","CKMT1B"
"1059","BCL2L15"
"1060","BCL2L14"
"1061","BCL2L11"
"1062","BCL2L10"
"1063","BCL2L13"
"1064","NTMT1"
"1065","C22orf15"
"1066","HSD11B2"
"1067","ISYNA1"
"1068","GTF2H3"
"1069","GTF2H1"
"1070","GTF2H5"
"1071","ALDH1B1"
"1072","COX7A2L"
"1073","SMARCC2"
"1074","SMARCC1"
"1075","RYK"
"1076","HBA2"
"1077","BLOC1S6"
"1078","BLOC1S5"
"1079","LHX4"
"1080","BLOC1S2"
"1081","LHX6"
"1082","LINC00323"
"1083","NADK2"
"1084","SLC38A5"
"1085","SLC38A4"
"1086","SLC38A7"
"1087","SLC38A1"
"1088","SLC38A3"
"1089","SLC38A2"
"1090","SLC38A9"
"1091","LOC100129534"
"1092","OCA2"
"1093","YBX1"
"1094","YBX3"
"1095","YBX2"
"1096","STIP1"
"1097","CHIC2"
"1098","CHIC1"
"1099","VSNL1"
"1100","SDCCAG8"
"1101","SDCCAG3"
"1102","CDIPT"
"1103","NCOA2"
"1104","NCOA3"
"1105","NCOA5"
"1106","FLJ10038"
"1107","CISH"
"1108","RIF1"
"1109","STARD3NL"
"1110","SREK1"
"1111","ERO1B"
"1112","ERO1A"
"1113","MPO"
"1114","CDIP1"
"1115","WT1-AS"
"1116","ALKAL2"
"1117","ZNF497"
"1118","ZNF496"
"1119","ERF"
"1120","ERG"
"1121","ZNF493"
"1122","HAND2"
"1123","ZNF490"
"1124","ERH"
"1125","NLGN4X"
"1126","FBN2"
"1127","FBN1"
"1128","AOAH"
"1129","SCN1B"
"1130","FRYL"
"1131","DEXI"
"1132","FUOM"
"1133","IDI1"
"1134","IDI2"
"1135","SPTB"
"1136","TMEM185B"
"1137","TMEM185A"
"1138","UBXN10"
"1139","UBXN11"
"1140","POTEM"
"1141","LRRC75A-AS1"
"1142","SFTA1P"
"1143","FCHSD1"
"1144","HIGD2A"
"1145","TRAIP"
"1146","UBA52"
"1147","DND1"
"1148","MAN1C1"
"1149","MESDC2"
"1150","IBSP"
"1151","NID2"
"1152","NID1"
"1153","BTG3"
"1154","BTG1"
"1155","ELOB"
"1156","ELOA"
"1157","OSTM1"
"1158","FANCG"
"1159","CFLAR"
"1160","FANCE"
"1161","FANCC"
"1162","FANCB"
"1163","FANCA"
"1164","HNRNPAB"
"1165","FANCM"
"1166","FANCL"
"1167","FANCI"
"1168","CA5B"
"1169","HNRNPA3"
"1170","HNRNPA1"
"1171","ADGRD1"
"1172","HOXA7"
"1173","HOXA6"
"1174","HOXA5"
"1175","HOXA4"
"1176","HOXA3"
"1177","HOXA2"
"1178","HOXA1"
"1179","HOXA9"
"1180","CEP57"
"1181","CEP55"
"1182","PRMT2"
"1183","SLC25A17"
"1184","B9D2"
"1185","HSPD1"
"1186","MTX3"
"1187","MTX2"
"1188","MTX1"
"1189","FUT2"
"1190","LIAS"
"1191","ATP10A"
"1192","ATP10B"
"1193","ATP10D"
"1194","KRIT1"
"1195","TRABD2A"
"1196","CDPF1"
"1197","GGA1"
"1198","LOC154761"
"1199","SCRIB"
"1200","TYMS"
"1201","TYMP"
"1202","WWP2"
"1203","WWP1"
"1204","DAPL1"
"1205","TPI1"
"1206","MFSD14C"
"1207","PRTN3"
"1208","MFSD14A"
"1209","CTSH"
"1210","CTSK"
"1211","CTSL"
"1212","CTSO"
"1213","CTSA"
"1214","CTSC"
"1215","CTSD"
"1216","CTSE"
"1217","CTSF"
"1218","CTSZ"
"1219","CTSS"
"1220","CTSV"
"1221","CTSW"
"1222","INCA1"
"1223","AMMECR1"
"1224","EMD"
"1225","EMB"
"1226","GJC3"
"1227","AFF4"
"1228","AFF3"
"1229","AFF2"
"1230","AFF1"
"1231","STK40"
"1232","UBA6"
"1233","PDP1"
"1234","UBA5"
"1235","UBA2"
"1236","UBA3"
"1237","PWP1"
"1238","PHF23"
"1239","RPAIN"
"1240","CPXM1"
"1241","PNO1"
"1242","PENK"
"1243","RPS15A"
"1244","INE1"
"1245","TDGF1"
"1246","GNS"
"1247","RPAP2"
"1248","JARID2"
"1249","GNE"
"1250","INSM1"
"1251","TMEM37"
"1252","TMEM31"
"1253","TMEM33"
"1254","RPL23AP7"
"1255","POGK"
"1256","C10orf105"
"1257","C10orf107"
"1258","ANO10"
"1259","POGZ"
"1260","PRUNE2"
"1261","PRUNE1"
"1262","APCDD1L"
"1263","NRCAM"
"1264","FAM155B"
"1265","FAM155A"
"1266","CXorf56"
"1267","CXorf57"
"1268","PAFAH1B3"
"1269","LYN"
"1270","PRH2"
"1271","LY9"
"1272","IP6K3"
"1273","IP6K2"
"1274","IP6K1"
"1275","MYO15B"
"1276","MYO15A"
"1277","KATNBL1"
"1278","NFKBIB"
"1279","NFKBID"
"1280","NFKBIZ"
"1281","RIPK4"
"1282","PLAC1"
"1283","TP53RK"
"1284","PLAC9"
"1285","PRSS35"
"1286","DLX5"
"1287","DLX6"
"1288","DLX1"
"1289","DLX2"
"1290","DLX3"
